"region","year","sex","country","number"
"AT13","2010","MALE","CHL",327
"AT13","2010","MALE","COL",354
"AT13","2010","MALE","CRI",22
"AT13","2010","MALE","CUB",117
"AT13","2010","MALE","DOM",148
"AT13","2010","MALE","ECU",121
"AT13","2010","MALE","GTM",66
"AT13","2010","MALE","HND",11
"AT13","2010","MALE","HTI",9
"AT13","2010","MALE","MEX",234
"AT13","2010","MALE","NIC",25
"AT13","2010","MALE","PAN",9
"AT13","2010","MALE","PER",260
"AT13","2010","MALE","PRY",32
"AT13","2010","MALE","SLV",12
"AT13","2010","MALE","URY",52
"AT13","2010","MALE","VEN",136
"AT13","2010","FEMALE","ARG",289
"AT13","2010","FEMALE","BOL",137
"AT13","2010","FEMALE","BRA",877
"AT13","2010","FEMALE","CHL",362
"AT13","2010","FEMALE","COL",439
"AT13","2010","FEMALE","CRI",30
"AT13","2010","FEMALE","CUB",217
"AT13","2010","FEMALE","DOM",284
"AT13","2010","FEMALE","ECU",166
"AT13","2010","FEMALE","GTM",57
"AT13","2010","FEMALE","HND",16
"AT13","2010","FEMALE","HTI",17
"AT13","2010","FEMALE","MEX",295
"AT13","2010","FEMALE","NIC",41
"AT13","2010","FEMALE","PAN",8
"AT13","2010","FEMALE","PER",506
"AT13","2010","FEMALE","PRY",53
"AT13","2010","FEMALE","SLV",20
"AT13","2010","FEMALE","URY",74
"AT13","2010","FEMALE","VEN",217
"AT13","2011","MALE","ARG",311
"AT13","2011","MALE","BOL",108
"AT13","2011","MALE","BRA",526
"AT13","2011","MALE","CHL",330
"AT13","2011","MALE","COL",357
"AT13","2011","MALE","CRI",23
"AT13","2011","MALE","CUB",124
"AT13","2011","MALE","DOM",157
"AT13","2011","MALE","ECU",127
"AT13","2011","MALE","GTM",66
"AT13","2011","MALE","HND",12
"AT13","2011","MALE","HTI",12
"AT13","2011","MALE","MEX",239
"AT13","2011","MALE","NIC",27
"AT13","2011","MALE","PAN",10
"AT13","2011","MALE","PER",258
"AT13","2011","MALE","PRY",33
"AT13","2011","MALE","SLV",14
"AT13","2011","MALE","URY",52
"AT13","2011","MALE","VEN",151
"AT13","2011","FEMALE","ARG",290
"AT13","2011","FEMALE","BOL",139
"AT13","2011","FEMALE","BRA",910
"AT13","2011","FEMALE","CHL",365
"AT13","2011","FEMALE","COL",449
"AT13","2011","FEMALE","CRI",34
"AT13","2011","FEMALE","CUB",221
"AT13","2011","FEMALE","DOM",286
"AT13","2011","FEMALE","ECU",181
"AT13","2011","FEMALE","GTM",58
"AT13","2011","FEMALE","HND",15
"AT13","2011","FEMALE","HTI",20
"AT13","2011","FEMALE","MEX",302
"AT13","2011","FEMALE","NIC",43
"AT13","2011","FEMALE","PAN",9
"AT13","2011","FEMALE","PER",523
"AT13","2011","FEMALE","PRY",52
"AT13","2011","FEMALE","SLV",21
"AT13","2011","FEMALE","URY",71
"AT13","2011","FEMALE","VEN",215
"AT13","2012","MALE","ARG",307
"AT13","2012","MALE","BOL",103
"AT13","2012","MALE","BRA",533
"AT13","2012","MALE","CHL",337
"AT13","2012","MALE","COL",364
"AT13","2012","MALE","CRI",26
"AT13","2012","MALE","CUB",137
"AT13","2012","MALE","DOM",173
"AT13","2012","MALE","ECU",127
"AT13","2012","MALE","GTM",73
"AT13","2012","MALE","HND",9
"AT13","2012","MALE","HTI",16
"AT13","2012","MALE","MEX",259
"AT13","2012","MALE","NIC",29
"AT13","2012","MALE","PAN",12
